NOMBRE,CATEGORIA,COORDENADAS
PS 149 SOJOURNER TRUTH,Educativo,POINT (-73.948240416365 40.802565141442)
CENTRAL PARK STRAWBERRY FIELDS,Recreativo,POINT (-73.975225531651 40.775708961087)
MELVILLE GALLERY,Cultural,POINT (-74.003315432469 40.707403603449)
JOAN OF ARC ISLAND,Recreativo,POINT (-73.976459217864 40.794234424217)
UNITED NATIONS PLZ CONDO,Residencial,POINT (-73.965781644366 40.752289972327)
STUYVESANT TOWN 530 E 20 540 E 20,Residencial,POINT (-73.976015602475 40.732971502463)
MONTESSORI SCHOOL OF MANHATTAN BEACH ST,Educativo,POINT (-74.009419373227 40.720883352222)
THOMAS PAINE PARK,Recreativo,POINT (-74.002653425222 40.715015151344)
HRA JOB CENTER UNION SQUARE #39,Gobierno,POINT (-73.988427210691 40.735768550435)
BOTSWANA MISSION TO UN,Gobierno,POINT (-73.973438452876 40.753515838228)
RIVERSIDE PARK 77 ST BALLFIELDS,Recreativo,POINT (-73.985623447127 40.784570476927)
HERNANDEZ HOUSE,Residencial,POINT (-73.989428176347 40.722227429464)
COLUMBIA UNIVERSITY COLLEGE OF DENTAL MEDICINE,Educativo,POINT (-73.940481020169 40.840897613585)
FT TRYON PARK NEW LEAF RESTROOM,Recreativo,POINT (-73.932719600023 40.860655181403)
SCYLLA PLAYGROUND,Recreativo,POINT (-73.925541278741 40.783968648538)
PARK AVENUE HOTEL,Comercial,POINT (-73.938925836435 40.804727511828)
LOWER E SIDE II HOUSES BLDG 4,Residencial,POINT (-73.979278431498 40.723144085281)
MOSAIC PREPARATORY ACADEMY,Educativo,POINT (-73.944284590766 40.795761396102)
POLO GROUNDS TOWERS BLDG 3,Residencial,POINT (-73.938589624777 40.830968053241)
SINGAPORE ECON DEVELOP BOARD,Gobierno,POINT (-73.970608480344 40.763492047792)
LINCOLN HOUSES BUILDING 10,Residencial,POINT (-73.937556480205 40.810585730957)
RIVERBANK PARK SERVICE BUILDING,Recreativo,POINT (-73.956035239847 40.825273694806)
JEWISH MUSEUM,Cultural,POINT (-73.957257376484 40.785382719821)
1 EAST RIVER PLACE,Residencial,POINT (-73.951428195617 40.766490038677)
FIRST HOUSES BUILDING 5,Residencial,POINT (-73.986175989773 40.723841369242)
RADIO CITY POST OFFICE,Gobierno,POINT (-73.986379003331 40.763870977697)
HIGHBRIDGE PARK FORT GEORGE HILL MOUNTAIN BIKE TRAIL,Recreativo,POINT (-73.924659063859 40.859459552847)
HARLEM VISTA HOTEL,Comercial,POINT (-73.937214565971 40.827304902111)
ASPHALT GREEN FIELD BATTERY PARK CITY,Recreativo,POINT (-74.014016351576 40.716074793366)
SAMUEL J FRIEDMAN THEATRE,Cultural,POINT (-73.986782707875 40.760322975646)
CCNY ADVANCED SCIENCE RESEARCH CENTER,Educativo,POINT (-73.950619830145 40.815720955819)
COLUMBIA UNIVERSITY FURNALD HALL,Residencial,POINT (-73.963909729532 40.807439445344)
LITTLE FLOWER PLAYGROUND COMFORT STATION,Recreativo,POINT (-73.988588443581 40.71259171757)
FRED SAMUEL PLAYGROUND,Recreativo,POINT (-73.939181990118 40.817144413908)
GRAND HYATT HOTEL GRAND CENTRAL TERMINAL,Comercial,POINT (-73.97610853162 40.751774738769)
SAMUEL CITY HOUSES BUILDING 27,Residencial,POINT (-73.937793239778 40.818884522226)
SAMUEL CITY HOUSES BUILDING 18,Residencial,POINT (-73.93959180387 40.820315943863)
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,Educativo,POINT (-73.931132598329 40.84920529119)
SAMUEL CITY HOUSES BUILDING 19,Residencial,POINT (-73.939308136371 40.82021278686)
COLUMBIA UNIVERSITY SCHOOL OF SOCIAL WORK,Educativo,POINT (-73.958283018141 40.810195385797)
LUTHER GULICK PLAYGROUND,Recreativo,POINT (-73.981847238817 40.715860647974)
BEEKMAN TOWER HOTEL,Comercial,POINT (-73.966000059093 40.753279381207)
INWOOD HILL PARK PALISADES OVERLOOK,Recreativo,POINT (-73.927229332197 40.873169542662)
45 ALLEN STREET HOUSES,Residencial,POINT (-73.992241393376 40.716688689566)
COLUMBIA UNIVERSITY HAMILTON HALL,Educativo,POINT (-73.961463891961 40.806742261484)
CONCORDE HOTEL,Comercial,POINT (-73.970449872257 40.75996897199)
GOVERNORS ISLAND THE YARD,Recreativo,POINT (-74.014399132207 40.687995842552)
BROWNSTONES HOUSES BUILDING 27,Residencial,POINT (-73.968264771131 40.788361467908)
BLOOMINGDALES 59 ST STORE,Comercial,POINT (-73.966752941512 40.762022044921)
CENTRAL PARK 79 ST MAINTENANCE YARD,Recreativo,POINT (-73.971164376279 40.780467679995)
MANHATTAN COMMUNITY COLLEGE PARKING LOT,Educativo,POINT (-74.011866198702 40.720100954632)
CENTRAL PARK LOCH,Recreativo,POINT (-73.956867263111 40.79504893625)
CENTRAL PARK N MEADOW,Recreativo,POINT (-73.957245221503 40.792312639001)
HOLCOMBE RUCKER PARK PLAYGROUND,Recreativo,POINT (-73.936586897289 40.829185687963)
CON ED E 74 ST,Comercial,POINT (-73.951964652716 40.768245673465)
MARLTON HOTEL,Comercial,POINT (-73.996828920015 40.732627999107)
MORNINGSIDE PARK S ENTRANCE,Recreativo,POINT (-73.959657785637 40.801467985875)
THE BRITISH INTERNATIONAL SCHOOL OF NY,Educativo,POINT (-73.972910913624 40.737856415861)
SUPREME COURT CRIMINAL TERM 100 CENTRE ST,Gobierno,POINT (-74.001033646353 40.71604148535)
PS 161 PEDRO ALBIZU CAMPOS,Educativo,POINT (-73.952653937881 40.817654499984)
IVORY COAST VISA OFFICE,Gobierno,POINT (-73.97150715836 40.750164787044)
DOROTHY K MCGOWAN MEMORIAL GARDEN,Recreativo,POINT (-73.942311639587 40.833977598413)
WASHINGTON HOUSES BUILDING 14,Residencial,POINT (-73.94479931367 40.7893651054)
CLINTON HOUSES BUILDING 5,Residencial,POINT (-73.9481685234 40.791795695431)
PIER 25 BEACH VOLLEYBALL COURT,Recreativo,POINT (-74.014864813658 40.720400856259)
ELECTRIC LADYBUG GARDEN,Recreativo,POINT (-73.956332175097 40.800835315628)
NEW YORK UNIVERSITY BARNEY BUILDING,Educativo,POINT (-73.988209058268 40.729805425993)
RIVERBANK PARK FOOTBALL FIELD,Recreativo,POINT (-73.95701787344 40.825064667512)
POOR RICHARDS PLAYGROUND HANDBALL COURTS,Recreativo,POINT (-73.942294824641 40.792465197345)
BROWNSTONES HOUSES BUILDING 7,Residencial,POINT (-73.970167753153 40.791629573525)
GREEK MISSION TO UN,Gobierno,POINT (-73.969916316868 40.752423847497)
CENTRAL PARK GREAT LAWN S,Recreativo,POINT (-73.967775353382 40.780098779003)
PHILLIPS BETH ISRAEL SCHOOL OF NURSING,Educativo,POINT (-73.990946164604 40.744992569457)
RAMON APONTE PARK,Recreativo,POINT (-73.989432381945 40.761399657417)
WHITEHALL BUILDING,Residencial,POINT (-73.970674103442 40.797398465072)
DOUGLASS HOUSES BUILDING 4,Residencial,POINT (-73.964907521577 40.795671628542)
HRA HASA CENTER WAVERLY,Gobierno,POINT (-73.99451855212 40.736177925244)
DREAM MIDTOWN HOTEL,Comercial,POINT (-73.981902204869 40.764467566073)
JACKIE ROBINSON PARK BANDSHELL,Recreativo,POINT (-73.942259937212 40.825136382825)
ELEV8 CENTER,Salud,POINT (-73.942074206271 40.815664280235)
LANDMARK THEATRES W 57 ST,Cultural,POINT (-73.993613572187 40.771518507614)
EAST RIVER HOUSES GARAGE,Residencial,POINT (-73.940568270776 40.786629203423)
PS 183 GYM BUILDING,Educativo,POINT (-73.95735485103 40.764048621244)
BARUCH HOUSES ADDITION HOUSES,Residencial,POINT (-73.979309807203 40.717117875535)
GAMBIA MISSION TO UN,Gobierno,POINT (-73.969176209834 40.750935687551)
CITY KNOLL MIDDLE SCHOOL,Educativo,POINT (-73.98942124529 40.765899235006)
HRA OCSS CENTER MANHATTAN STATEN ISLAND BOROUGH OFFICE,Gobierno,POINT (-73.993850226304 40.718589524898)
VILLAGE VIEW CO-OP BUILDING 2,Residencial,POINT (-73.985065012937 40.725643516314)
ALFRED E SMITH RECREATION CENTER,Recreativo,POINT (-73.997537866037 40.710197071315)
SEWARD PARK EDUCATIONAL CAMPUS,Educativo,POINT (-73.98923005061 40.717309827042)
GOLDEN THEATRE,Cultural,POINT (-73.988002402278 40.758754707554)
CHAD MISSION TO UN,Gobierno,POINT (-73.972111056392 40.750352108604)
21 CLUB,Comercial,POINT (-73.977421621001 40.760481598371)
ART & DESIGN HIGH SCHOOL,Educativo,POINT (-73.966452665124 40.759193792595)
ROCKEFELLER UNIVERSITY FRICKE HALL,Educativo,POINT (-73.957016056067 40.761829336981)
THIRD STREET MUSIC SCHOOL SETTLEMENT,Educativo,POINT (-73.987052589029 40.730835981231)
FT WASHINGTON AVE ARMORY,Gobierno,POINT (-73.941789171959 40.842233870365)
POOR RICHARDS PLAYGROUND COMFORT STATION,Recreativo,POINT (-73.943109470005 40.792982622454)
NEW YORK UNIVERSITY CANTOR FILM CENTER,Cultural,POINT (-73.994403400018 40.731231582719)
THE BILINGUAL BICULTURAL SCHOOL,Educativo,POINT (-73.941911006712 40.793170771036)
DOUGLASS II HOUSES,Residencial,POINT (-73.96611699475 40.796603018546)
NEW YORK UNIVERSITY 838 BROADWAY,Educativo,POINT (-73.990767881115 40.733619859457)
GRAMPION HOUSE,Residencial,POINT (-73.952485573672 40.806086104372)
FIT FACULTY HALL,Educativo,POINT (-73.995789073535 40.7472859825)
COLUMBIA UNIVERSITY COMPUTER SCIENCE,Educativo,POINT (-73.959880834751 40.809348560688)
LINCOLN SPENCER APARTMENTS,Residencial,POINT (-73.981668730568 40.775971048337)
NYC RIDING ACADEMY,Recreativo,POINT (-73.934303148059 40.786691606374)
TW MARINE,Recreativo,POINT (-73.958634816699 40.759624743141)
PS 128 AUDUBON,Educativo,POINT (-73.939054789972 40.841288806261)
VIVIAN BEAUMONT THEATER,Cultural,POINT (-73.98449477964 40.773751793873)
PARK CENTRAL HOTEL,Comercial,POINT (-73.981047929072 40.764665663332)
ST DAVIDS SCHOOL,Educativo,POINT (-73.958241604252 40.782986807722)
NEW YORK UNIVERSITY FURMAN HALL,Educativo,POINT (-73.998945469914 40.730123435261)
NEW SCHOOL FANTON HALL WELCOME CENTER,Educativo,POINT (-73.994257927215 40.735544175319)
ALEXANDRIA HOUSE BUILDING,Residencial,POINT (-73.969485695018 40.799366884402)
TOWER EAST BUILDING,Residencial,POINT (-73.96109936249 40.769714111745)
SAMUEL CITY HOUSES BUILDING 16,Residencial,POINT (-73.939488638592 40.820532426228)
BARNARD COLLEGE REID HALL,Educativo,POINT (-73.964009512919 40.808415923578)
REGIS HS,Educativo,POINT (-73.958947778657 40.779389389048)
MARCUS GARVEY PLAYGROUND 124 ST NEAR MT MORRIS PARK W,Recreativo,POINT (-73.943634122011 40.805925713295)
CABRINI BOULEVARD MALLS,Recreativo,POINT (-73.936399365524 40.858232214325)
DRY DOCK POOL,Recreativo,POINT (-73.975656669134 40.725261864363)
ABC 320 W 66 ST,Comercial,POINT (-73.98850198147 40.776215433626)
SETON HOTEL,Comercial,POINT (-73.976265106403 40.749701646828)
GARDENS NYC AFFINIA HOTEL,Comercial,POINT (-73.96307979325 40.764378107924)
NYC ALLIANCE AGAINST SEXUAL ASSAULT,Gobierno,POINT (-74.012952490837 40.705878739516)
SUCCESS ACADEMY WASHINGTON HEIGHTS,Educativo,POINT (-73.935533088689 40.85792019619)
CLINTON HOUSES,Residencial,POINT (-73.945416170098 40.794795730526)
SUNKEN MEADOW FIELD 44,Residencial,POINT (-73.91612899252 40.795879347424)
NEW YORK UNIVERSITY RUFUS D SMITH HALL,Educativo,POINT (-73.994844028244 40.730547447651)
TEACHERS COLLEGE HORACE MANN HALL,Educativo,POINT (-73.961419483939 40.810729589523)
CON EDISON 59 ST STATION,Comercial,POINT (-73.992886985986 40.772209761295)
NYC KOREAN SCHOOL UPPER WEST CAMPUS,Educativo,POINT (-73.975661388011 40.785239561452)
KITANO HOTEL,Comercial,POINT (-73.979904548026 40.749564534196)
PIERRE HOTEL,Comercial,POINT (-73.971843378572 40.76522349069)
THE MCCARTON CENTER FOR DEVELOPMENTAL PEDIATRICS,Educativo,POINT (-73.951873704319 40.77439190775)
GREENWICH VILLAGE CENTER,Cultural,POINT (-73.999625881118 40.729405430209)
CUBA MISSION TO UN,Gobierno,POINT (-73.977500071298 40.749090718937)
CITY COLLEGE OF NY MORRIS COHEN LIBRARY,Cultural,POINT (-73.950526638778 40.819649405227)
YORKVILLE LIBRARY,Cultural,POINT (-73.956373811017 40.773663894627)
RITZ TOWER BUILDING,Residencial,POINT (-73.970259294366 40.761719470481)
CLUB QUARTERS HOTEL WORLD TRADE CENTER,Comercial,POINT (-74.013920024722 40.709879883828)
FT TRYON PARK CLOISTERS BUS STOP,Recreativo,POINT (-73.931038454829 40.865235540406)
MOUNTAINSIDE TREATMENT CENTER,Salud,POINT (-73.999695157747 40.742012537671)
PS 51 ELIAS HOWE,Educativo,POINT (-73.995739330682 40.761647545768)
TAFT REHABS,Residencial,POINT (-73.952292365829 40.804342009444)
SAMUEL CITY HOUSES BUILDING 49,Residencial,POINT (-73.937779414573 40.819570977459)
PETER COOPER VILLAGE - 390 FA,Residencial,POINT (-73.978498003813 40.736217297653)
SHERMAN MONUMENT,Recreativo,POINT (-73.973067954412 40.764806562826)
STUYVESANT TOWN 270 1 AV,Residencial,POINT (-73.981299933532 40.732234255702)
PS 79 HORAN SCHOOL,Educativo,POINT (-73.94247409467 40.802676431026)
CPF PLAYGROUND,Recreativo,POINT (-73.93389320935 40.84197936293)
DENMARK CONSULATE & MISSION TO UN,Gobierno,POINT (-73.970023090053 40.75361659698)
STUYVESANT TOWN - 278 FA/ 276 FA/ 274 FA/ 272 FA,Residencial,POINT (-73.980061921059 40.732751578265)
WEILL CORNELL PSYCHIATRY SPECIALTY CENTER,Salud,POINT (-73.962047476264 40.762312830229)
KING TOWERS BUILDING 4,Residencial,POINT (-73.947586738505 40.799813501071)
GOUVERNEUR GARDENS BUILDING 5,Residencial,POINT (-73.982252604945 40.711090002481)
BARUCH HOUSES BUILDING 4,Residencial,POINT (-73.976712666208 40.715822561257)
LENOX TERRACE HOUSES AREA,Residencial,POINT (-73.939931554303 40.812056362205)
ARTHUR A SCHOMBURG PLAZA II BUILDING,Residencial,POINT (-73.948679540788 40.797208076153)
BARUCH HOUSES BUILDING 9,Residencial,POINT (-73.977000426701 40.718809322691)
MANHATTAN COMMUNITY BOARD 2,Gobierno,POINT (-73.998314433007 40.72800683804)
DRYDEN EAST BUILDING,Residencial,POINT (-73.976535644337 40.748985532113)
BROWNSTONES HOUSES BUILDING 34,Residencial,POINT (-73.969456548485 40.788034623236)
ISHAM PARK MANSION ENTRANCE,Recreativo,POINT (-73.919731534916 40.869727267726)
STUYVESANT TOWN 521 E 14 523 E 14 525 E 14,Residencial,POINT (-73.978478622338 40.730606077477)
LOWER EAST SIDE REHAB (GROUP 5) BUILDING 2,Residencial,POINT (-73.979200099111 40.72396589422)
TREVOR DAY SCHOOL W 88 ST,Educativo,POINT (-73.968853736957 40.787010316988)
ARGENTINA MISSION TO UN,Gobierno,POINT (-73.969046956706 40.750424716716)
ROCKEFELLER UNIVERSITY PHILOSOPHERS GARDEN,Educativo,POINT (-73.955670423266 40.763560674465)
ARTISTS SPACE,Cultural,POINT (-74.00332774225 40.7188613984)
PORT LIFE GALLERY,Cultural,POINT (-74.003547828831 40.707327097488)
ELLIOTT HOUSES BUILDING 3,Residencial,POINT (-74.002109764326 40.7489398745)
NEW YORK UNIVERSITY 19 WASHINGTON SQ N,Educativo,POINT (-73.997572960249 40.73191121653)
TEACHERS COLLEGE MACY HALL,Educativo,POINT (-73.9603844686 40.81053529682)
CITY COLLEGE WINGATE HALL,Educativo,POINT (-73.949792058018 40.820653853043)
DOMINICA MISSION TO UN,Gobierno,POINT (-73.971708658033 40.749988543083)
ROCKEFELLER UNIVERSITY SMITH HALL ANNEX,Educativo,POINT (-73.954456268926 40.763061535976)
HIGH SCHOOL FOR MATHEMATICS SCIENCE & ENGINEERING AT CITY COLLEGE,Educativo,POINT (-73.948899162819 40.821403571104)
THE SCHOOL AT COLUMBIA UNIVERSITY,Educativo,POINT (-73.96640568951 40.803818263985)
ST NICHOLAS HOUSES BUILDING 12,Residencial,POINT (-73.946813310616 40.812955976425)
ST NICHOLAS PLAYGROUND,Recreativo,POINT (-73.950853120431 40.813795476453)
MOROCCO MISSION TO THE UN,Gobierno,POINT (-73.969957677348 40.752511495877)
SOL BLOOM PLAYGROUND,Recreativo,POINT (-73.968821576499 40.789712780916)
BRITISH CONSULATE,Gobierno,POINT (-73.969780053881 40.756610364402)
LOWER MANHATTAN ARTS ACADEMY,Educativo,POINT (-73.989508144566 40.717253096837)
PETER COOPER VILLAGE - 2 PCR,Residencial,POINT (-73.977857522558 40.735165030168)
GOVERNORS ISLAND HAMMOCK GROVE,Recreativo,POINT (-74.020915521977 40.688739644452)
SAMUEL MHOP II HOUSES,Residencial,POINT (-73.940025029867 40.816934599905)
WALD HOUSES BUILDING 12,Residencial,POINT (-73.975836501378 40.720151634683)
OL LOURDES SCHOOL,Educativo,POINT (-73.948105189956 40.8236001123)
HAMMERSTEIN BALLROOM,Cultural,POINT (-73.994079110709 40.752887571445)
FT TRYON PARK TABLE TENNIS AREA SUBWAY PLAZA,Recreativo,POINT (-73.933859869866 40.858494793325)
NEW YORK UNIVERSITY HAYDEN HALL,Educativo,POINT (-73.995496504517 40.727907378523)
THE NEW SCHOOL 20 ST RESIDENCE,Educativo,POINT (-74.000453266984 40.743518021557)
VLADECK HOUSES COMPLEX,Residencial,POINT (-73.981730590685 40.713059558563)
SINGAPORE CONSULATE & MISSION TO UN,Gobierno,POINT (-73.968609969893 40.753093664076)
EAST RIVER PARK AT JACKSON STREET,Recreativo,POINT (-73.980222735156 40.710572054714)
RIVERBANK PARK TENNIS COURTS,Recreativo,POINT (-73.958043113403 40.82372695168)
PRINCETON CLUB,Cultural,POINT (-73.981244913059 40.754722749943)
VLADECK HOUSES BUILDING 12,Residencial,POINT (-73.981855636632 40.712399117712)
QUEBEC GOVERNMENT OFFICE,Gobierno,POINT (-73.978899595662 40.758093657823)
HARLEM RIVER HOUSES BLDG 3,Residencial,POINT (-73.936439118779 40.825935281694)
SURROGATES COURT,Gobierno,POINT (-74.004277176634 40.713559903929)
PS 115 ALEXANDER HUMBOLDT,Educativo,POINT (-73.935155948909 40.846356986125)
RICHARD TUCKER PARK,Recreativo,POINT (-73.981884602436 40.773569296434)
TAFT HOUSES BUILDING 5,Residencial,POINT (-73.946192300126 40.799141610743)
ST GEORGE ACADEMY HIGH SCHOOL,Educativo,POINT (-73.989814979024 40.728132002889)
COLLEGE OF NEW ROCHELLE DC 37 CAMPUS,Educativo,POINT (-74.012964831552 40.714488681323)
COLUMBIA UNIVERSITY CASA HISPANICA,Educativo,POINT (-73.965013092676 40.808256501741)
BARUCH HOUSES BUILDING 3,Residencial,POINT (-73.976265227045 40.716724359296)
SISULU WALKER CHARTER SCHOOL OF HARLEM,Educativo,POINT (-73.951411403502 40.802068690674)
DSNY GARAGE BRONX 8,Gobierno,POINT (-73.914336157637 40.869616556422)
GRAMERCY PARK HOTEL,Comercial,POINT (-73.985728202045 40.73857688943)
INDIAN ROAD PLAYGROUND,Recreativo,POINT (-73.919910157969 40.871642614805)
ELYSEE HOTEL,Comercial,POINT (-73.973186837869 40.759968739007)
TOMPKINS SQUARE PARK PLAYGROUND AVE B,Recreativo,POINT (-73.981164195846 40.725686253459)
WAGNER HOUSES BUILDING 15,Residencial,POINT (-73.933865702661 40.800065840485)
EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II,Educativo,POINT (-73.948582491361 40.793866841406)
FREEMAN PLAZA WEST,Recreativo,POINT (-74.007620611689 40.724266340184)
PS 169 ROBERT F KENNEDY,Educativo,POINT (-73.955513664236 40.780926868334)
CENTRAL PARK SAFARI PLAYGROUND,Recreativo,POINT (-73.96643862041 40.788452557958)
HARLEM CHILDRENS ZONE PROMISE ACADEMY II MIDDLE SCHOOL,Educativo,POINT (-73.940820680908 40.806095005116)
COLUMBIA UNIVERSITY,Educativo,POINT (-73.96186733066 40.808168372803)
LA GUARDIA HOUSES BUILDING 1,Residencial,POINT (-73.989383969867 40.712376831338)
THE ORLEANS BUILDING,Residencial,POINT (-73.975353925892 40.7826103122)
NY FILM ACADEMY,Educativo,POINT (-74.015907813395 40.70525364495)
ROCKEFELLER PARK NORTH MEADOW,Recreativo,POINT (-74.01622992504 40.718295982787)
BLACKWELL PLAYGROUND,Recreativo,POINT (-73.950112056664 40.760439305072)
AMSTERDAM HOUSES,Residencial,POINT (-73.98724133593 40.773051885409)
3 WORLD TRADE CENTER,Comercial,POINT (-74.011385908106 40.710937871593)
LILLIAN WALD HOUSES,Residencial,POINT (-73.976412329995 40.720806465632)
BELNORD HOTEL,Comercial,POINT (-73.97521328463 40.788817331529)
PLAZA ATHENEE HOTEL,Comercial,POINT (-73.968311500452 40.76660242362)
TOURO COLLEGE OF OSTEOPATHIC MEDICINE,Educativo,POINT (-73.949754073486 40.809255717463)
ASCENSION SCHOOL,Educativo,POINT (-73.966140683753 40.802163379465)
POLAND TOURIST OFFICE,Gobierno,POINT (-73.98009463913 40.751265700072)
